x 	 analitycal w t = 0.5	PCMN_LU w t = 0.5	analitycal w t = 1	PCMN_LU w t = 1	analitycal w t = 1.9999	PCMN_LU w t = 1.9999
4.53	0.999908	0.999908	0.997228	0.997229	0.982879	0.982881
4.54	0.999912	0.999912	0.997289	0.99729	0.983101	0.983103
4.55	0.999915	0.999915	0.997348	0.997349	0.983321	0.983322
4.56	0.999919	0.999919	0.997407	0.997407	0.983538	0.983539
4.57	0.999922	0.999922	0.997464	0.997464	0.983752	0.983753
4.58	0.999925	0.999925	0.99752	0.99752	0.983964	0.983965
4.59	0.999928	0.999928	0.997575	0.997575	0.984173	0.984174
4.6	0.999931	0.999931	0.997628	0.997629	0.98438	0.984381
4.61	0.999934	0.999934	0.997681	0.997682	0.984584	0.984585
4.62	0.999936	0.999936	0.997733	0.997733	0.984786	0.984787
4.63	0.999939	0.999939	0.997783	0.997784	0.984986	0.984987
4.64	0.999941	0.999941	0.997833	0.997833	0.985183	0.985184
4.65	0.999944	0.999944	0.997881	0.997882	0.985378	0.985379
4.66	0.999946	0.999946	0.997928	0.997929	0.98557	0.985571
4.67	0.999948	0.999948	0.997975	0.997976	0.98576	0.985762
4.68	0.99995	0.99995	0.998021	0.998021	0.985948	0.98595
4.69	0.999952	0.999952	0.998065	0.998066	0.986134	0.986135
4.7	0.999954	0.999954	0.998109	0.998109	0.986318	0.986319
4.71	0.999956	0.999956	0.998151	0.998152	0.986499	0.9865
4.72	0.999958	0.999958	0.998193	0.998194	0.986678	0.986679
4.73	0.99996	0.99996	0.998234	0.998235	0.986855	0.986856
4.74	0.999961	0.999961	0.998274	0.998275	0.98703	0.987031
4.75	0.999963	0.999963	0.998314	0.998314	0.987203	0.987204
4.76	0.999964	0.999964	0.998352	0.998353	0.987374	0.987375
4.77	0.999966	0.999966	0.99839	0.99839	0.987542	0.987543
4.78	0.999967	0.999967	0.998427	0.998427	0.987709	0.98771
4.79	0.999969	0.999969	0.998463	0.998463	0.987873	0.987875
4.8	0.99997	0.99997	0.998498	0.998498	0.988036	0.988037
4.81	0.999971	0.999971	0.998533	0.998533	0.988197	0.988198
4.82	0.999972	0.999972	0.998566	0.998567	0.988355	0.988357
4.83	0.999973	0.999973	0.998599	0.9986	0.988512	0.988513
4.84	0.999975	0.999975	0.998632	0.998632	0.988667	0.988668
4.85	0.999976	0.999976	0.998664	0.998664	0.98882	0.988821
4.86	0.999977	0.999977	0.998695	0.998695	0.988971	0.988972
4.87	0.999978	0.999978	0.998725	0.998725	0.98912	0.989121
