x 	 analitycal w t = 0.49999	KMB w t = 0.49999	analitycal w t = 0.99999	KMB w t = 0.99999	analitycal w t = 1.99998	KMB w t = 1.99998
2.155	0.884879	0.88488	0.807846	0.807846	0.738469	0.738469
2.16	0.886091	0.886092	0.809225	0.809225	0.739855	0.739855
2.165	0.887291	0.887293	0.810595	0.810595	0.741234	0.741234
2.17	0.888481	0.888482	0.811956	0.811956	0.742606	0.742606
2.175	0.88966	0.889661	0.813308	0.813308	0.74397	0.74397
2.18	0.890828	0.890829	0.814651	0.814651	0.745326	0.745326
2.185	0.891985	0.891986	0.815985	0.815986	0.746676	0.746676
2.19	0.893132	0.893133	0.817311	0.817311	0.748018	0.748018
2.195	0.894268	0.894269	0.818628	0.818628	0.749352	0.749353
2.2	0.895393	0.895395	0.819936	0.819936	0.75068	0.75068
2.205	0.896509	0.89651	0.821235	0.821236	0.752	0.752
2.21	0.897613	0.897615	0.822526	0.822527	0.753314	0.753314
2.215	0.898708	0.898709	0.823809	0.823809	0.75462	0.75462
2.22	0.899793	0.899794	0.825083	0.825083	0.755919	0.755919
2.225	0.900867	0.900868	0.826348	0.826349	0.757211	0.757211
2.23	0.901932	0.901933	0.827606	0.827606	0.758497	0.758497
2.235	0.902986	0.902987	0.828855	0.828855	0.759775	0.759775
2.24	0.904031	0.904032	0.830095	0.830096	0.761047	0.761047
2.245	0.905066	0.905067	0.831328	0.831329	0.762311	0.762312
2.25	0.906091	0.906092	0.832553	0.832553	0.763569	0.76357
2.255	0.907107	0.907108	0.833769	0.833769	0.764821	0.764821
2.26	0.908113	0.908114	0.834977	0.834978	0.766065	0.766065
2.265	0.90911	0.909111	0.836178	0.836178	0.767303	0.767303
2.27	0.910097	0.910098	0.83737	0.837371	0.768535	0.768535
2.275	0.911075	0.911076	0.838555	0.838555	0.76976	0.76976
2.28	0.912044	0.912045	0.839732	0.839732	0.770978	0.770978
2.285	0.913003	0.913004	0.840901	0.840901	0.77219	0.77219
2.29	0.913954	0.913955	0.842062	0.842062	0.773395	0.773395
2.295	0.914895	0.914896	0.843216	0.843216	0.774594	0.774594
2.3	0.915828	0.915829	0.844362	0.844362	0.775787	0.775787
2.305	0.916751	0.916752	0.8455	0.845501	0.776973	0.776973
2.31	0.917666	0.917667	0.846631	0.846631	0.778153	0.778154
2.315	0.918572	0.918573	0.847754	0.847755	0.779327	0.779327
2.32	0.91947	0.919471	0.84887	0.848871	0.780495	0.780495
2.325	0.920358	0.92036	0.849979	0.849979	0.781656	0.781657
2.33	0.921239	0.92124	0.85108	0.851081	0.782812	0.782812
2.335	0.922111	0.922112	0.852174	0.852175	0.783961	0.783961
2.34	0.922974	0.922975	0.853261	0.853261	0.785104	0.785105
2.345	0.923829	0.92383	0.85434	0.854341	0.786242	0.786242
2.35	0.924676	0.924677	0.855413	0.855413	0.787373	0.787373
2.355	0.925515	0.925516	0.856478	0.856478	0.788498	0.788498
2.36	0.926345	0.926346	0.857536	0.857536	0.789618	0.789618
2.365	0.927168	0.927169	0.858587	0.858587	0.790731	0.790731
2.37	0.927982	0.927983	0.859631	0.859632	0.791839	0.791839
2.375	0.928789	0.92879	0.860668	0.860669	0.792941	0.792941
2.38	0.929587	0.929588	0.861699	0.861699	0.794037	0.794037
2.385	0.930378	0.930379	0.862722	0.862722	0.795127	0.795128
2.39	0.931161	0.931162	0.863739	0.863739	0.796212	0.796212
2.395	0.931937	0.931938	0.864748	0.864749	0.797291	0.797291
2.4	0.932705	0.932706	0.865752	0.865752	0.798365	0.798365
2.405	0.933465	0.933466	0.866748	0.866748	0.799432	0.799433
2.41	0.934218	0.934219	0.867738	0.867738	0.800495	0.800495
2.415	0.934963	0.934964	0.868721	0.868721	0.801551	0.801551
2.42	0.935701	0.935702	0.869698	0.869698	0.802603	0.802603
2.425	0.936432	0.936433	0.870668	0.870668	0.803648	0.803648
2.43	0.937155	0.937156	0.871631	0.871632	0.804689	0.804689
2.435	0.937871	0.937873	0.872588	0.872589	0.805723	0.805724
2.44	0.938581	0.938582	0.873539	0.87354	0.806753	0.806753
2.445	0.939283	0.939284	0.874484	0.874484	0.807777	0.807777
2.45	0.939978	0.939979	0.875422	0.875422	0.808796	0.808796
2.455	0.940666	0.940667	0.876353	0.876354	0.80981	0.80981
2.46	0.941347	0.941348	0.877279	0.87728	0.810818	0.810818
2.465	0.942022	0.942023	0.878198	0.878199	0.811821	0.811821
2.47	0.942689	0.94269	0.879112	0.879112	0.812819	0.812819
2.475	0.94335	0.943351	0.880019	0.880019	0.813812	0.813812
2.48	0.944004	0.944005	0.88092	0.88092	0.814799	0.814799
2.485	0.944652	0.944653	0.881814	0.881815	0.815782	0.815782
2.49	0.945293	0.945294	0.882703	0.882704	0.816759	0.816759
2.495	0.945928	0.945929	0.883586	0.883587	0.817732	0.817732
2.5	0.946556	0.946557	0.884463	0.884464	0.818699	0.818699
2.505	0.947178	0.947179	0.885334	0.885335	0.819661	0.819662
2.51	0.947793	0.947794	0.886199	0.8862	0.820619	0.820619
2.515	0.948402	0.948403	0.887059	0.887059	0.821571	0.821572
2.52	0.949005	0.949006	0.887912	0.887913	0.822519	0.822519
2.525	0.949602	0.949603	0.88876	0.888761	0.823462	0.823462
2.53	0.950193	0.950194	0.889602	0.889603	0.824399	0.8244
2.535	0.950777	0.950778	0.890439	0.890439	0.825333	0.825333
2.54	0.951356	0.951357	0.891269	0.89127	0.826261	0.826261
2.545	0.951928	0.951929	0.892094	0.892095	0.827184	0.827184
2.55	0.952495	0.952496	0.892914	0.892914	0.828103	0.828103
2.555	0.953056	0.953057	0.893728	0.893728	0.829017	0.829017
2.56	0.953611	0.953612	0.894536	0.894537	0.829926	0.829927
2.565	0.95416	0.954161	0.895339	0.89534	0.830831	0.830831
2.57	0.954704	0.954705	0.896137	0.896137	0.831731	0.831731
2.575	0.955242	0.955243	0.896929	0.896929	0.832626	0.832627
2.58	0.955774	0.955775	0.897715	0.897716	0.833517	0.833517
2.585	0.956301	0.956302	0.898497	0.898497	0.834404	0.834404
2.59	0.956822	0.956823	0.899273	0.899273	0.835285	0.835285
2.595	0.957338	0.957339	0.900044	0.900044	0.836162	0.836163
2.6	0.957848	0.957849	0.900809	0.900809	0.837035	0.837035
2.605	0.958353	0.958354	0.901569	0.90157	0.837903	0.837904
2.61	0.958853	0.958854	0.902324	0.902325	0.838767	0.838767
2.615	0.959347	0.959348	0.903074	0.903075	0.839627	0.839627
2.62	0.959836	0.959837	0.903819	0.903819	0.840482	0.840482
2.625	0.96032	0.960321	0.904559	0.904559	0.841332	0.841333
2.63	0.960799	0.9608	0.905293	0.905294	0.842179	0.842179
2.635	0.961273	0.961274	0.906023	0.906023	0.843021	0.843021
2.64	0.961742	0.961743	0.906747	0.906748	0.843858	0.843859
2.645	0.962206	0.962206	0.907467	0.907467	0.844692	0.844692
2.65	0.962664	0.962665	0.908182	0.908182	0.845521	0.845521
2.655	0.963118	0.963119	0.908891	0.908892	0.846346	0.846346
2.66	0.963567	0.963568	0.909596	0.909597	0.847167	0.847167
2.665	0.964011	0.964012	0.910296	0.910297	0.847983	0.847984
2.67	0.964451	0.964452	0.910992	0.910992	0.848796	0.848796
2.675	0.964886	0.964887	0.911682	0.911682	0.849604	0.849604
2.68	0.965316	0.965317	0.912368	0.912368	0.850408	0.850408
2.685	0.965741	0.965742	0.913048	0.913049	0.851208	0.851208
2.69	0.966162	0.966163	0.913725	0.913725	0.852004	0.852004
2.695	0.966578	0.966579	0.914396	0.914397	0.852796	0.852796
2.7	0.96699	0.966991	0.915063	0.915064	0.853584	0.853584
2.705	0.967397	0.967398	0.915725	0.915726	0.854368	0.854368
2.71	0.9678	0.967801	0.916383	0.916384	0.855148	0.855148
2.715	0.968198	0.968199	0.917036	0.917037	0.855924	0.855924
2.72	0.968592	0.968593	0.917685	0.917685	0.856696	0.856696
2.725	0.968982	0.968983	0.918329	0.918329	0.857464	0.857464
2.73	0.969367	0.969368	0.918968	0.918969	0.858228	0.858229
2.735	0.969749	0.969749	0.919604	0.919604	0.858989	0.858989
2.74	0.970126	0.970126	0.920234	0.920235	0.859745	0.859745
2.745	0.970498	0.970499	0.920861	0.920861	0.860498	0.860498
2.75	0.970867	0.970868	0.921483	0.921483	0.861247	0.861247
2.755	0.971232	0.971233	0.9221	0.922101	0.861992	0.861992
2.76	0.971592	0.971593	0.922714	0.922714	0.862733	0.862733
2.765	0.971949	0.97195	0.923323	0.923323	0.86347	0.863471
2.77	0.972302	0.972303	0.923927	0.923928	0.864204	0.864204
2.775	0.97265	0.972651	0.924528	0.924528	0.864934	0.864934
2.78	0.972995	0.972996	0.925124	0.925125	0.865661	0.865661
2.785	0.973336	0.973337	0.925716	0.925717	0.866383	0.866383
2.79	0.973673	0.973674	0.926304	0.926305	0.867102	0.867102
2.795	0.974007	0.974008	0.926888	0.926889	0.867818	0.867818
2.8	0.974337	0.974337	0.927468	0.927469	0.868529	0.86853
2.805	0.974662	0.974663	0.928044	0.928044	0.869237	0.869238
2.81	0.974985	0.974986	0.928615	0.928616	0.869942	0.869942
2.815	0.975303	0.975304	0.929183	0.929183	0.870643	0.870643
2.82	0.975618	0.975619	0.929746	0.929747	0.87134	0.871341
2.825	0.97593	0.975931	0.930306	0.930307	0.872034	0.872034
2.83	0.976238	0.976239	0.930862	0.930862	0.872725	0.872725
2.835	0.976542	0.976543	0.931413	0.931414	0.873412	0.873412
2.84	0.976843	0.976844	0.931961	0.931962	0.874095	0.874095
2.845	0.977141	0.977141	0.932505	0.932506	0.874775	0.874775
2.85	0.977435	0.977436	0.933045	0.933046	0.875451	0.875452
2.855	0.977726	0.977726	0.933581	0.933582	0.876124	0.876125
2.86	0.978013	0.978014	0.934114	0.934114	0.876794	0.876794
2.865	0.978297	0.978298	0.934643	0.934643	0.87746	0.877461
2.87	0.978578	0.978579	0.935167	0.935168	0.878123	0.878124
2.875	0.978856	0.978856	0.935689	0.935689	0.878783	0.878783
2.88	0.97913	0.979131	0.936206	0.936206	0.879439	0.879439
2.885	0.979401	0.979402	0.93672	0.93672	0.880092	0.880092
2.89	0.979669	0.97967	0.93723	0.93723	0.880742	0.880742
2.895	0.979934	0.979935	0.937736	0.937737	0.881388	0.881388
2.9	0.980196	0.980197	0.938239	0.938239	0.882031	0.882031
2.905	0.980455	0.980456	0.938738	0.938739	0.882671	0.882671
2.91	0.980711	0.980712	0.939234	0.939234	0.883307	0.883308
2.915	0.980964	0.980965	0.939726	0.939726	0.883941	0.883941
2.92	0.981214	0.981215	0.940214	0.940215	0.884571	0.884571
2.925	0.981461	0.981462	0.940699	0.9407	0.885198	0.885198
2.93	0.981705	0.981706	0.941181	0.941181	0.885822	0.885822
2.935	0.981946	0.981947	0.941659	0.941659	0.886442	0.886443
2.94	0.982185	0.982185	0.942133	0.942134	0.88706	0.88706
2.945	0.98242	0.982421	0.942605	0.942605	0.887674	0.887674
2.95	0.982653	0.982654	0.943072	0.943073	0.888285	0.888286
2.955	0.982883	0.982884	0.943537	0.943537	0.888894	0.888894
2.96	0.98311	0.983111	0.943998	0.943998	0.889499	0.889499
2.965	0.983335	0.983336	0.944456	0.944456	0.890101	0.890101
2.97	0.983557	0.983558	0.94491	0.94491	0.8907	0.8907
2.975	0.983776	0.983777	0.945361	0.945361	0.891296	0.891296
2.98	0.983993	0.983994	0.945809	0.945809	0.891889	0.891889
2.985	0.984207	0.984208	0.946253	0.946254	0.892479	0.892479
