t 	 error 
0.03704	-3.97016
0.03708	-3.97068
0.03712	-3.9712
0.03716	-3.97172
0.0372	-3.97224
0.03724	-3.97276
0.03728	-3.97328
0.03732	-3.9738
0.03736	-3.97432
0.0374	-3.97484
0.03744	-3.97536
0.03748	-3.97587
0.03752	-3.97639
0.03756	-3.97691
0.0376	-3.97743
0.03764	-3.97794
0.03768	-3.97846
0.03772	-3.97898
0.03776	-3.97949
0.0378	-3.98001
0.03784	-3.98053
0.03788	-3.98104
0.03792	-3.98156
0.03796	-3.98207
0.038	-3.98259
0.03804	-3.9831
0.03808	-3.98361
0.03812	-3.98413
0.03816	-3.98464
0.0382	-3.98515
0.03824	-3.98567
0.03828	-3.98618
0.03832	-3.98669
0.03836	-3.9872
0.0384	-3.98771
0.03844	-3.98823
0.03848	-3.98874
0.03852	-3.98925
0.03856	-3.98976
0.0386	-3.99027
0.03864	-3.99078
0.03868	-3.99129
0.03872	-3.9918
0.03876	-3.99231
0.0388	-3.99281
0.03884	-3.99332
0.03888	-3.99383
0.03892	-3.99434
0.03896	-3.99485
0.039	-3.99535
0.03904	-3.99586
0.03908	-3.99637
0.03912	-3.99687
0.03916	-3.99738
0.0392	-3.99788
0.03924	-3.99839
0.03928	-3.9989
0.03932	-3.9994
0.03936	-3.99991
0.0394	-4.00041
0.03944	-4.0009
0.03948	-4.00139
0.03952	-4.00188
0.03956	-4.00237
0.0396	-4.00286
0.03964	-4.00335
0.03968	-4.00384
0.03972	-4.00432
0.03976	-4.00481
0.0398	-4.0053
0.03984	-4.00579
0.03988	-4.00628
0.03992	-4.00677
0.03996	-4.00725
0.04	-4.00774
0.04004	-4.00823
0.04008	-4.00871
0.04012	-4.0092
0.04016	-4.00969
0.0402	-4.01017
0.04024	-4.01066
0.04028	-4.01114
0.04032	-4.01163
0.04036	-4.01211
0.0404	-4.0126
0.04044	-4.01308
0.04048	-4.01357
0.04052	-4.01405
0.04056	-4.01453
0.0406	-4.01502
0.04064	-4.0155
0.04068	-4.01598
0.04072	-4.01647
0.04076	-4.01695
0.0408	-4.01743
0.04084	-4.01791
0.04088	-4.01839
0.04092	-4.01888
0.04096	-4.01936
0.041	-4.01984
0.04104	-4.02032
0.04108	-4.0208
0.04112	-4.02128
0.04116	-4.02176
0.0412	-4.02224
0.04124	-4.02272
0.04128	-4.0232
0.04132	-4.02367
0.04136	-4.02415
0.0414	-4.02463
0.04144	-4.02511
0.04148	-4.02559
0.04152	-4.02606
0.04156	-4.02654
0.0416	-4.02702
0.04164	-4.02749
0.04168	-4.02797
0.04172	-4.02845
0.04176	-4.02892
0.0418	-4.0294
0.04184	-4.02987
0.04188	-4.03035
0.04192	-4.03082
0.04196	-4.03129
0.042	-4.03175
0.04204	-4.03221
0.04208	-4.03267
0.04212	-4.03314
0.04216	-4.0336
0.0422	-4.03406
0.04224	-4.03452
0.04228	-4.03498
0.04232	-4.03544
0.04236	-4.0359
0.0424	-4.03636
0.04244	-4.03682
0.04248	-4.03728
0.04252	-4.03774
0.04256	-4.0382
0.0426	-4.03866
0.04264	-4.03912
0.04268	-4.03957
0.04272	-4.04003
0.04276	-4.04049
0.0428	-4.04095
0.04284	-4.04141
0.04288	-4.04186
0.04292	-4.04232
0.04296	-4.04278
0.043	-4.04323
0.04304	-4.04369
0.04308	-4.04415
0.04312	-4.0446
0.04316	-4.04506
0.0432	-4.04551
0.04324	-4.04597
0.04328	-4.04642
0.04332	-4.04688
0.04336	-4.04733
0.0434	-4.04779
0.04344	-4.04824
0.04348	-4.04869
0.04352	-4.04915
0.04356	-4.0496
0.0436	-4.05005
0.04364	-4.05051
0.04368	-4.05096
0.04372	-4.05141
0.04376	-4.05187
0.0438	-4.05232
0.04384	-4.05277
0.04388	-4.05322
0.04392	-4.05367
0.04396	-4.05412
0.044	-4.05457
0.04404	-4.05502
0.04408	-4.05547
0.04412	-4.05592
0.04416	-4.05637
0.0442	-4.05682
0.04424	-4.05727
0.04428	-4.05772
0.04432	-4.05817
0.04436	-4.05862
0.0444	-4.05907
0.04444	-4.05952
0.04448	-4.05997
0.04452	-4.06041
0.04456	-4.06086
0.0446	-4.0613
0.04464	-4.06173
0.04468	-4.06217
0.04472	-4.0626
0.04476	-4.06304
0.0448	-4.06348
0.04484	-4.06391
0.04488	-4.06435
0.04492	-4.06478
0.04496	-4.06522
0.045	-4.06565
0.04504	-4.06608
0.04508	-4.06652
0.04512	-4.06695
0.04516	-4.06739
0.0452	-4.06782
0.04524	-4.06825
0.04528	-4.06868
0.04532	-4.06912
0.04536	-4.06955
0.0454	-4.06998
0.04544	-4.07041
0.04548	-4.07085
0.04552	-4.07128
0.04556	-4.07171
0.0456	-4.07214
0.04564	-4.07257
0.04568	-4.073
0.04572	-4.07343
0.04576	-4.07386
0.0458	-4.07429
0.04584	-4.07472
0.04588	-4.07515
0.04592	-4.07558
0.04596	-4.07601
0.046	-4.07644
0.04604	-4.07687
0.04608	-4.0773
0.04612	-4.07773
0.04616	-4.07816
0.0462	-4.07859
0.04624	-4.07901
0.04628	-4.07944
0.04632	-4.07987
0.04636	-4.0803
0.0464	-4.08072
0.04644	-4.08115
0.04648	-4.08158
0.04652	-4.082
0.04656	-4.08243
0.0466	-4.08286
0.04664	-4.08328
0.04668	-4.08371
0.04672	-4.08413
0.04676	-4.08456
0.0468	-4.08498
0.04684	-4.08541
0.04688	-4.08583
0.04692	-4.08626
0.04696	-4.08668
0.047	-4.08711
0.04704	-4.08753
0.04708	-4.08795
0.04712	-4.08838
0.04716	-4.0888
0.0472	-4.08922
0.04724	-4.08965
0.04728	-4.09007
0.04732	-4.09048
0.04736	-4.09089
0.0474	-4.09131
0.04744	-4.09172
0.04748	-4.09213
0.04752	-4.09254
0.04756	-4.09295
0.0476	-4.09336
0.04764	-4.09377
0.04768	-4.09419
0.04772	-4.0946
0.04776	-4.09501
0.0478	-4.09542
0.04784	-4.09583
0.04788	-4.09624
0.04792	-4.09665
0.04796	-4.09706
0.048	-4.09747
0.04804	-4.09787
0.04808	-4.09828
0.04812	-4.09869
0.04816	-4.0991
0.0482	-4.09951
0.04824	-4.09992
0.04828	-4.10033
0.04832	-4.10073
0.04836	-4.10114
0.0484	-4.10155
0.04844	-4.10196
0.04848	-4.10236
0.04852	-4.10277
0.04856	-4.10318
0.0486	-4.10358
0.04864	-4.10399
0.04868	-4.1044
0.04872	-4.1048
0.04876	-4.10521
0.0488	-4.10561
0.04884	-4.10602
0.04888	-4.10642
0.04892	-4.10683
0.04896	-4.10723
0.049	-4.10764
0.04904	-4.10804
0.04908	-4.10845
0.04912	-4.10885
0.04916	-4.10926
0.0492	-4.10966
0.04924	-4.11006
0.04928	-4.11047
0.04932	-4.11087
0.04936	-4.11127
0.0494	-4.11168
0.04944	-4.11208
0.04948	-4.11248
0.04952	-4.11288
0.04956	-4.11328
0.0496	-4.11369
0.04964	-4.11409
0.04968	-4.11449
0.04972	-4.11489
0.04976	-4.11529
0.0498	-4.11569
0.04984	-4.11609
0.04988	-4.11649
0.04992	-4.1169
0.04996	-4.1173
0.05	-4.1177
0.05004	-4.1181
0.05008	-4.1185
0.05012	-4.11889
0.05016	-4.11928
0.0502	-4.11967
0.05024	-4.12006
0.05028	-4.12045
0.05032	-4.12084
0.05036	-4.12123
0.0504	-4.12162
0.05044	-4.12201
0.05048	-4.1224
0.05052	-4.12278
0.05056	-4.12317
0.0506	-4.12356
0.05064	-4.12395
0.05068	-4.12434
0.05072	-4.12473
0.05076	-4.12511
0.0508	-4.1255
0.05084	-4.12589
0.05088	-4.12628
0.05092	-4.12666
0.05096	-4.12705
0.051	-4.12744
