t 	 error 
0.1165	-3.83642
0.1166	-3.83684
0.1167	-3.83727
0.1168	-3.8377
0.1169	-3.83812
0.117	-3.83855
0.1171	-3.83898
0.1172	-3.8394
0.1173	-3.83983
0.1174	-3.84025
0.1175	-3.84068
0.1176	-3.8411
0.1177	-3.84153
0.1178	-3.84195
0.1179	-3.84237
0.118	-3.84279
0.1181	-3.8432
0.1182	-3.84362
0.1183	-3.84404
0.1184	-3.84445
0.1185	-3.84487
0.1186	-3.84529
0.1187	-3.8457
0.1188	-3.84612
0.1189	-3.84653
0.119	-3.84695
0.1191	-3.84736
0.1192	-3.84778
0.1193	-3.84819
0.1194	-3.8486
0.1195	-3.84902
0.1196	-3.84943
0.1197	-3.84984
0.1198	-3.85026
0.1199	-3.85067
0.12	-3.85108
0.1201	-3.85149
0.1202	-3.85191
0.1203	-3.85232
0.1204	-3.85273
0.1205	-3.85314
0.1206	-3.85355
0.1207	-3.85396
0.1208	-3.85437
0.1209	-3.85478
0.121	-3.85519
0.1211	-3.8556
0.1212	-3.85601
0.1213	-3.85642
0.1214	-3.85683
0.1215	-3.85724
0.1216	-3.85765
0.1217	-3.85806
0.1218	-3.85847
0.1219	-3.85888
0.122	-3.85928
0.1221	-3.85969
0.1222	-3.8601
0.1223	-3.86051
0.1224	-3.86091
0.1225	-3.86132
0.1226	-3.86173
0.1227	-3.86213
0.1228	-3.86254
0.1229	-3.86294
0.123	-3.86335
0.1231	-3.86375
0.1232	-3.86416
0.1233	-3.86456
0.1234	-3.86497
0.1235	-3.86537
0.1236	-3.86578
0.1237	-3.86618
0.1238	-3.86659
0.1239	-3.86699
0.124	-3.86739
0.1241	-3.8678
0.1242	-3.8682
0.1243	-3.8686
0.1244	-3.869
0.1245	-3.86941
0.1246	-3.86981
0.1247	-3.87021
0.1248	-3.87061
0.1249	-3.871
0.125	-3.8714
0.1251	-3.87179
0.1252	-3.87218
0.1253	-3.87258
0.1254	-3.87297
0.1255	-3.87337
0.1256	-3.87376
0.1257	-3.87415
0.1258	-3.87455
0.1259	-3.87494
0.126	-3.87533
0.1261	-3.87573
0.1262	-3.87612
0.1263	-3.87651
0.1264	-3.8769
0.1265	-3.87729
0.1266	-3.87769
0.1267	-3.87808
0.1268	-3.87847
0.1269	-3.87886
0.127	-3.87925
0.1271	-3.87964
0.1272	-3.88003
0.1273	-3.88042
0.1274	-3.88081
0.1275	-3.8812
0.1276	-3.88159
0.1277	-3.88198
0.1278	-3.88237
0.1279	-3.88276
0.128	-3.88314
0.1281	-3.88353
