x 	 analitycal w t = 0.5	PCMN_THOMAS w t = 0.5	analitycal w t = 1	PCMN_THOMAS w t = 1	analitycal w t = 1.99999	PCMN_THOMAS w t = 1.99999
2.17	0.888479	0.888481	0.811955	0.811956	0.742605	0.742606
2.175	0.889658	0.88966	0.813307	0.813308	0.743969	0.74397
2.18	0.890826	0.890828	0.81465	0.814651	0.745326	0.745327
2.185	0.891983	0.891985	0.815984	0.815985	0.746675	0.746676
2.19	0.89313	0.893132	0.81731	0.817311	0.748017	0.748018
2.195	0.894266	0.894268	0.818626	0.818628	0.749352	0.749353
2.2	0.895391	0.895394	0.819935	0.819936	0.75068	0.75068
2.205	0.896506	0.896509	0.821234	0.821235	0.752	0.752001
2.21	0.897611	0.897614	0.822525	0.822526	0.753313	0.753314
2.215	0.898706	0.898709	0.823808	0.823809	0.754619	0.75462
2.22	0.899791	0.899793	0.825082	0.825083	0.755919	0.755919
2.225	0.900865	0.900868	0.826347	0.826349	0.757211	0.757212
2.23	0.90193	0.901932	0.827605	0.827606	0.758496	0.758497
2.235	0.902984	0.902987	0.828854	0.828855	0.759775	0.759775
2.24	0.904029	0.904031	0.830094	0.830096	0.761046	0.761047
2.245	0.905064	0.905066	0.831327	0.831328	0.762311	0.762312
2.25	0.906089	0.906092	0.832552	0.832553	0.763569	0.76357
2.255	0.907105	0.907107	0.833768	0.833769	0.76482	0.764821
2.26	0.908111	0.908113	0.834976	0.834978	0.766065	0.766066
2.265	0.909108	0.90911	0.836177	0.836178	0.767303	0.767304
2.27	0.910095	0.910097	0.837369	0.837371	0.768534	0.768535
2.275	0.911073	0.911075	0.838554	0.838555	0.769759	0.76976
2.28	0.912042	0.912044	0.839731	0.839732	0.770978	0.770978
2.285	0.913001	0.913004	0.8409	0.840901	0.772189	0.77219
2.29	0.913952	0.913954	0.842061	0.842062	0.773395	0.773395
2.295	0.914893	0.914895	0.843215	0.843216	0.774594	0.774594
2.3	0.915826	0.915828	0.844361	0.844362	0.775787	0.775787
2.305	0.916749	0.916752	0.845499	0.8455	0.776973	0.776974
2.31	0.917664	0.917666	0.84663	0.846631	0.778153	0.778154
2.315	0.91857	0.918572	0.847753	0.847755	0.779327	0.779328
2.32	0.919468	0.91947	0.848869	0.848871	0.780495	0.780495
2.325	0.920356	0.920359	0.849978	0.849979	0.781656	0.781657
2.33	0.921237	0.921239	0.851079	0.85108	0.782812	0.782812
2.335	0.922109	0.922111	0.852173	0.852174	0.783961	0.783961
2.34	0.922972	0.922974	0.85326	0.853261	0.785104	0.785105
2.345	0.923827	0.923829	0.854339	0.85434	0.786241	0.786242
2.35	0.924674	0.924676	0.855412	0.855413	0.787373	0.787373
2.355	0.925513	0.925515	0.856477	0.856478	0.788498	0.788499
2.36	0.926343	0.926345	0.857535	0.857536	0.789617	0.789618
2.365	0.927166	0.927168	0.858586	0.858587	0.790731	0.790731
2.37	0.92798	0.927982	0.85963	0.859631	0.791839	0.791839
2.375	0.928787	0.928789	0.860667	0.860669	0.79294	0.792941
2.38	0.929585	0.929588	0.861698	0.861699	0.794037	0.794037
2.385	0.930376	0.930378	0.862721	0.862722	0.795127	0.795128
2.39	0.931159	0.931162	0.863738	0.863739	0.796212	0.796212
2.395	0.931935	0.931937	0.864747	0.864749	0.797291	0.797291
2.4	0.932703	0.932705	0.86575	0.865752	0.798364	0.798365
2.405	0.933463	0.933465	0.866747	0.866748	0.799432	0.799433
2.41	0.934216	0.934218	0.867737	0.867738	0.800494	0.800495
2.415	0.934961	0.934963	0.86872	0.868721	0.801551	0.801552
2.42	0.935699	0.935701	0.869697	0.869698	0.802602	0.802603
2.425	0.93643	0.936432	0.870667	0.870668	0.803648	0.803648
2.43	0.937153	0.937155	0.87163	0.871631	0.804688	0.804689
2.435	0.93787	0.937872	0.872587	0.872589	0.805723	0.805724
2.44	0.938579	0.938581	0.873538	0.873539	0.806753	0.806753
2.445	0.939281	0.939283	0.874483	0.874484	0.807777	0.807777
2.45	0.939976	0.939978	0.875421	0.875422	0.808796	0.808796
2.455	0.940664	0.940666	0.876352	0.876354	0.809809	0.80981
2.46	0.941345	0.941347	0.877278	0.877279	0.810818	0.810818
2.465	0.94202	0.942022	0.878197	0.878199	0.811821	0.811821
2.47	0.942688	0.942689	0.879111	0.879112	0.812819	0.812819
2.475	0.943348	0.94335	0.880018	0.880019	0.813811	0.813812
2.48	0.944003	0.944005	0.880919	0.88092	0.814799	0.8148
2.485	0.94465	0.944652	0.881813	0.881815	0.815781	0.815782
2.49	0.945291	0.945293	0.882702	0.882704	0.816759	0.816759
2.495	0.945926	0.945928	0.883585	0.883586	0.817731	0.817732
2.5	0.946554	0.946556	0.884462	0.884463	0.818699	0.818699
2.505	0.947176	0.947178	0.885333	0.885335	0.819661	0.819662
2.51	0.947791	0.947793	0.886199	0.8862	0.820618	0.820619
2.515	0.948401	0.948402	0.887058	0.887059	0.821571	0.821572
2.52	0.949004	0.949005	0.887911	0.887913	0.822519	0.822519
2.525	0.9496	0.949602	0.888759	0.88876	0.823461	0.823462
2.53	0.950191	0.950193	0.889601	0.889602	0.824399	0.8244
2.535	0.950776	0.950777	0.890438	0.890439	0.825332	0.825333
2.54	0.951354	0.951356	0.891268	0.89127	0.82626	0.826261
2.545	0.951927	0.951928	0.892093	0.892095	0.827184	0.827185
2.55	0.952494	0.952495	0.892913	0.892914	0.828103	0.828103
2.555	0.953054	0.953056	0.893727	0.893728	0.829017	0.829017
2.56	0.953609	0.953611	0.894535	0.894536	0.829926	0.829927
2.565	0.954159	0.95416	0.895338	0.895339	0.830831	0.830831
2.57	0.954702	0.954704	0.896136	0.896137	0.831731	0.831731
2.575	0.95524	0.955242	0.896928	0.896929	0.832626	0.832627
2.58	0.955773	0.955774	0.897715	0.897716	0.833517	0.833518
2.585	0.956299	0.956301	0.898496	0.898497	0.834403	0.834404
2.59	0.956821	0.956822	0.899272	0.899273	0.835285	0.835285
2.595	0.957336	0.957338	0.900043	0.900044	0.836162	0.836163
2.6	0.957847	0.957848	0.900808	0.900809	0.837035	0.837035
2.605	0.958352	0.958353	0.901568	0.901569	0.837903	0.837904
2.61	0.958851	0.958853	0.902323	0.902324	0.838767	0.838768
2.615	0.959346	0.959347	0.903073	0.903074	0.839626	0.839627
2.62	0.959835	0.959836	0.903818	0.903819	0.840481	0.840482
2.625	0.960319	0.96032	0.904558	0.904559	0.841332	0.841333
2.63	0.960798	0.960799	0.905292	0.905293	0.842178	0.842179
2.635	0.961272	0.961273	0.906022	0.906023	0.84302	0.843021
2.64	0.96174	0.961742	0.906746	0.906748	0.843858	0.843859
2.645	0.962204	0.962206	0.907466	0.907467	0.844692	0.844692
2.65	0.962663	0.962664	0.908181	0.908182	0.845521	0.845521
2.655	0.963117	0.963118	0.908891	0.908892	0.846346	0.846346
2.66	0.963566	0.963567	0.909595	0.909596	0.847166	0.847167
2.665	0.96401	0.964012	0.910295	0.910296	0.847983	0.847984
2.67	0.96445	0.964451	0.910991	0.910992	0.848795	0.848796
2.675	0.964884	0.964886	0.911681	0.911682	0.849604	0.849604
2.68	0.965314	0.965316	0.912367	0.912368	0.850408	0.850408
2.685	0.96574	0.965741	0.913048	0.913049	0.851208	0.851209
2.69	0.966161	0.966162	0.913724	0.913725	0.852004	0.852005
2.695	0.966577	0.966578	0.914395	0.914396	0.852796	0.852796
2.7	0.966989	0.96699	0.915062	0.915063	0.853584	0.853584
2.705	0.967396	0.967397	0.915725	0.915726	0.854368	0.854368
